Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911293 24-26 Cycling Facilities Renewal,911293 Réfection des infrastructures cyclables 24-26," 1,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911300 24-26 Sidewalks & Pathways - CW,911300 Trottoirs et sentiers – ensemble du territoire de la Ville 24-26," 9,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911301 24-26 Sidewalks & Pathways - Other,911301 Trottoirs et sentiers – divers 24-26, 890 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911302 24-26 Minor Sidewalk Repairs,911302 Réparations mineures de trottoirs 24-26," 2,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911349 24-26 Structures - Site-Specific,911349 Structures – propres au site 24-26," 1,200 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911350 24-26 Misc Structural Renewal - CW,911350 Réfection de structures diverses – ensemble du territoire de la Ville 24-26," 1,436 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911351 24-26 Structures Scoping Pre/Post Eng,911351 Délimitations préalable et subséquente des travaux d'ingénierie des structures 24-26, 720 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911352 24-26 Bridge Structures - CW,911352 Structures des ponts – ensemble du territoire de la Ville 24-26," 27,205 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911353 24-26 Bridge Preventative Maint,911353 Entretien préventif des ponts 24-26, 530 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911354 24-26 Structural Inspection,911354 Inspection des structures 24-26, 530 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911590 Gateway/Stairs/Fences (Non-Structural),911590 Points d'accès/escaliers/clôtures (non structurels), 350 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910993 Fleet Replacement Program,910993 Programme de renouvellement du parc automobile," 5,387 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910994 IT Infrastructure Support Program,910994 Programme de soutien de infrastructure de TI," 2,300 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910995 Service Centre & Telecomm Program,910995 Programme des Telecommunications et Centre de service," 3,031 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910996 Facility Lifecycle Program,910996 Programme -Cycle de vie des installations," 2,771 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910997 Specialized Asset Replacement Program,910997 Programme de remplacement d'actifs spécialisés," 2,906 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910998 Facility Initiatives Program,"910998 
Programme d'initiatives d'installations", 844 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Service Enhancements,Amélioration du service
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,910999 Facility Security Initiatives Program,910999 Programme d'initiatives de sécurité des installations, 214 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,911000 Growth Costs Program,911000 Program des coûts de croissance ," 2,400 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Ottawa Police Services,Commission de services policiers d'Ottawa,Boards and Agencies,Conseils et institutions,Police Services,Services de Police,911716 Elgin Refits,911716 Elgin remettre en etat," 10,355 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Public Library,Conseil d’administration de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,905105 Central Library Development,905105 Aménagement de la Bibliothèque centrale d’Ottawa," 2,000 ",Capital, Yes - Major Contribution ,Oui - Contribution majeure,1, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Service Enhancements,Amélioration du service
Ottawa Public Library,Conseil d’administration de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,907059 Barrhaven - New Branch Construction,907059 Barrhaven – Construction d’une nouvelle succursale," 4,940 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Growth,Croissance
Ottawa Public Library,Conseil d’administration de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,908710 Vehicle Replacement (Materials Delivery),908710 Moyen de remplacement vers la fin de la durée de vie (Livraison des matériaux), 150 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Public Library,Conseil d’administration de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,911065 Brand Strategy & Implementation- Signage,911065 Stratégie de marque et mise en œuvre - Signalisation, 250 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Public Library,Conseil d’administration de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,911682 Technology Lifecycle - 2025,911682 Cycle de vie de la technologie - 2025, 350 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Ottawa Public Library,Conseil d’administration de la Bibliothèque publique d’Ottawa,Boards and Agencies,Conseils et institutions,Library,Bibliothèque,911683 Facilities and Branch Improvements-2025,911683 Amélioration au sein des immeubles et succursales - 2025, 350 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911669 DCA-Mud Creek Stream Rehab - Design and,911669 DCA-Réhabilitation du cours d'eau Mud Creek - Conception et construction, 412 ,Capital, No  ,Non,0, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Services des eaux usées,908557 FEA2024 EUC Sanitary Sewer System,908557 EPC2024 EUC Système d'égouts sanitaires, 564 ,Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Planning and Housing Committee,Comité de la planification et du logement,Planning & Development,Planification et élaboration,906930 Planning - Land Mngmt Solution - LMS,906930 Planification – Solution de gestion foncière (SGF)," 3,860 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Planning and Housing Committee,Comité de la planification et du logement,Planning & Development,Planification et élaboration,909980 ROWHUD - Land Mngmt Solution (LMS),909980 SEPDU – Solution de gestion foncière (SGF)," 3,610 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Planning and Housing Committee,Comité de la planification et du logement,Planning & Development,Planification et élaboration,910122 Zoning By-law Re-write,910122 Révision du Règlement de zonage, 900 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Planning and Housing Committee,Comité de la planification et du logement,Planning & Development,Planification et élaboration,910394 DC By-Law - 2024 Background Study,910394 Étude préliminaire de 2024 sur le Règl. sur les redevances d’aménagement, 155 ,Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Planning and Housing Committee,Comité de la planification et du logement,Planning & Development,Planification et élaboration,911717 2025 Official Plan Update,911717 Mise à jour du Plan officiel 2025," 3,000 ",Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transit Services,Services de transport en commun,910180 24-26 Origin Destination Survey (Transit,910180 24-26 Enquête Origine - Destination (Transport en commun), 117 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transit Services,Services de transport en commun,911020 23-26 Transit EAs and Planning Studies,911020 23-26 Études d’ÉE sur le transport en commun et planification," 1,082 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transit Services,Services de transport en commun,911027 23-26 TMP Transit Priority Network,911027 PDT 23-26 ? réseau du transport en commun prioritaire," 8,160 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transit Services,Services de transport en commun,911250 24-26 TMP Studies,911250 24-26 Etudes pour TMP, 255 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,904995 Earl Grey/Centrum Underpass,904995 Passage inférieur prom. Earl Grey/ boul. Centrum," 2,040 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,907403 Mer Bleue (Decoeur to Renaud),907403 Ch. Mer Bleue (Decoeur to Renaud)," 2,040 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,907479 Brian Coburn Ext (Navan to Innes @ Blair,907479 Prolongement du boulevard Brian-Coburn (entre les chemins Navan et Innes @ Blair)," 4,080 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,909043 Greenbank (Chapman Mills to Barnsdale),909043 Greenbank (de Chapman Mills à Barnsdale)," 10,861 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,910165 Carp Road (Hwy 417 to Hazeldean),910165 Ch. Carp (aut. 417 – ch. Hazeldean)," 10,353 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,910173 24-26 Origin-Destination Survey (Roads),910173 24-26 Enquête Origine - Destination (Routes), 141 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,910957 23-26 Road EAs and Planning Studies,910957 23-26 Études d’ÉE sur les artères et planification," 2,164 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911239 24-26 Pedestrian Facilities Program,911239 24-26 Programme d'installations pour piétons," 2,207 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911240 24-26 Cycling Facilities Program,911240 24-26 Programme d'installations pour cyclistes," 9,917 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911241 24-26 Active Transportation Missing Link,911241 24-26 Transport Actif pour les Études sur les liens manquants, 479 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911242 24-26 Neighbourhood Traffic Calming,911242 24-26 Programme de modération de la circulation," 1,530 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911243 24-26 Intersection Ctrl Measures(undefin,911243 24-26 Mesures de contrôle aux intersections (Indéfini)," 1,794 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911244 24-26 Development Sidewalks,911244 24-26 Développement des trottoirs, 200 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911245 24-26 Network Modification Program,911245 24-26 Programme de modification du réseau," 3,641 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911249 24-26 Transportation Demand Management,911249 24-26 Gestion de la demande en transport , 306 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911373 24-26 Digital Twin and Geospatial Data A,911373 Programme 24-26 de jumeau numériques et d'acquisition de données géospatiales ," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911374 24-26 Public Realm Intervention,911374 24-26 Intervention sur le domaine public, 500 ,Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911648 Downtown Streetscaping Improvements to B,"911648 Amélioration de l'aménagement des rues du centre-ville sur les rues Bank, Laurier et Somerset"," 1,500 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911650 Beechwood Ave. streetscape renewal,911650 Renouvellement du paysage de rue à l'avenue Beechwood, 400 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911654 Downtown Ottawa Self-Cleaning Public Was,911654 Toilettes publiques autonettoyantes au centre-ville d'Ottawa," 1,000 ",Capital, No  ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911655 Sparks Street renewal (O'Connor to Kent),911655 Renouvellement de la rue Sparks (de O'Connor à Kent), 500 ,Capital, No  ,Non,0, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Service Enhancements,Amélioration du service
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911658 24-26 Intersection Control Measures - Ea,911658 Mesures de contrôle des intersections - zone est (définie), 884 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911659 24-26 Intersection Control Measures - So,911659 Mesures de contrôle des intersections - zone sud (définies)," 4,838 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911660 24-26 Intersection Control Measures - We,911660 Mesures de contrôle des intersections - zone ouest (définies)," 1,040 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Planning, Development and Building Services "," Direction générale des services de la planification, de l'aménagement et du bâtiment ",Transportation Committee,Comité des transports,Transportation Services,Services des transports,911661 24-26 Intersection Control Measures - Ru,911661 Mesures de contrôle des intersections - zone rurale (définie), 772 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Community Services Committee,Comité des services communautaires,"Parks, Buildings, & Grounds","Parcs, immeubles et terrains",911760 Minor Parks Repair Project-2025,911760 Minor Parks Repair Project-2025, 350 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,907354 Solid Waste Business Technology,907354 Technologie de gestion des déchets solides, 200 ,Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,907797 Landfill Stage 4 Capping,907797 Couverture du site d'enfouissement - stade 4," 18,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Regulatory,Réglementé
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,909431 Long Term Planning,909431 Planification à long terme," 1,844 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,910586 Renewal of SW Facilities,910586 Renouvellement des installations DS," 1,000 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911210 Buffer land Development 2024-2026,911210 Développement de la zone tampon 2024-2026," 3,500 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Regulatory,Réglementé
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911211 Trail Road Landfill Operations Managemen,911211 Gestion des opérations de décharge du chemin Trail 2024-2026, 950 ,Capital, No  ,Non,0, No  ,Non,0,,Regulatory,Réglementé
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911212 Trail Road Gas Collect Syst Expan2024-26,911212 Expansion du système de captage des gaz du chemin 2024-2026," 1,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Regulatory,Réglementé
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911600 Landfill Disposal Stage 6 Development,911600 Élimination en décharge Étape 6 Développement," 2,500 ",Capital, No  ,Non,0, No  ,Non,0,,Regulatory,Réglementé
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911601 Solid Waste Fleet In -House Collection,911601 Flotte de déchets solides - Collecte interne," 1,795 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,"911603 SWMP-Waste Reduction, Reuse & Circular E","911603 SWMP-Réduction des déchets, réutilisation et économie circulaire", 750 ,Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, No ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911604 SWMP-Waste Diversion Enhancements,911604 SWMP-Améliorations en matière de réacheminement des déchets," 1,545 ",Capital, Yes - Major Contribution ,Oui - Contribution majeure,1, No ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911605 SWMP-Operational Enhancements,911605 SWMP-Améliorations opérationnelles, 500 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911606 SWMP-Technical Studies,911606 SWMP-Etudes techniques," 1,400 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Solid Waste,Déchets solides ,911607 Solid Waste Fleet Growth 2025-2026,"911607 Croissance de vehicules, Dechets solides 2025-2026"," 2,157 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Parking Services,Service de stationnement,911685 Bike Parking Facilities 2025,911685 Parkings pour vélos 2025, 400 ,Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Parking Services,Service de stationnement,911686 Parking Studies - DC 2025,911686 Études de stationnement 2025, 120 ,Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Parking Services,Service de stationnement,911687 Lifecycle Renewal -Parking Facility 2025,911687 Renouvellement du cycle de vie des installations de stationnement 2025," 1,350 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Parking Services,Service de stationnement,911688 Parking On-Street Facility Mod. 2025,911688 Modification des installations sur rue 2025, 50 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Parking Services,Service de stationnement,911689 Lifecycle Renewal - Parking Improve 2025,911689 Renouvellement du cycle de vie – Amélioration du stationnement d’ici 2025, 50 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
