Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Fire/Smoke Dispersion Analysis -  Level 2 Fee,Frais de proximité - Analyse de la dispersion de la fumée et des incendies - Niveau 2,,,1792.14,1792.14,1827.98,1827.98,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Fire/Smoke Dispersion Analysis -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Analyse de la dispersion de la fumée et des incendies - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Fire/Smoke Dispersion Analysis -  Level 3 Fee,Frais de proximité - Analyse de la dispersion de la fumée et des incendies - Niveau 3,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Fire/Smoke Dispersion Analysis -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Analyse de la dispersion de la fumée et des incendies - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Geotechnical Hydrogeological Analysis - Level 2 Fee,Frais de proximité - Analyse hydrogéologique et géotechnique - Niveau 2,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Geotechnical Hydrogeological Analysis - Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Analyse hydrogéologique et géotechnique - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Geotechnical Hydrogeological Analysis - Level 3 Fee,Frais de proximité - Analyse hydrogéologique et géotechnique - Niveau 3,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Geotechnical Hydrogeological Analysis - Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Analyse hydrogéologique et géotechnique - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Groundwater Control Plan - Level 1 Fee,Frais de proximité - Plan de contrôle des eaux de surface - Niveau 1,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Groundwater Control Plan - Level 1 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Plan de contrôle des eaux de surface - Niveau 1
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Groundwater Control Plan - Level 2 Fee,Frais de proximité - Plan de contrôle des eaux de surface - Niveau 2,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Groundwater Control Plan - Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Plan de contrôle des eaux de surface - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Groundwater Control Plan - Level 3 Fee,Frais de proximité - Plan de contrôle des eaux de surface - Niveau 3,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Groundwater Control Plan - Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Plan de contrôle des eaux de surface - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Insurance Requirements -  Level 2 Fee,Frais de proximité - Exigences en matière d'assurance - Niveau 2,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Insurance Requirements -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Exigences en matière d'assurance - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Insurance Requirements -  Level 3 Fee,Frais de proximité - Exigences en matière d'assurance - Niveau 3,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Insurance Requirements -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Exigences en matière d'assurance - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Noise and Vibration Study -  Level 1 Fee,Frais de proximité - Étude sur le bruit et les vibrations - Niveau 1,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Noise and Vibration Study -  Level 1 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Étude sur le bruit et les vibrations - Niveau 1
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Noise and Vibration Study -  Level 2 Fee,Frais de proximité - Étude sur le bruit et les vibrations - Niveau 2,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Noise and Vibration Study -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Étude sur le bruit et les vibrations - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Noise and Vibration Study -  Level 3 Fee,Frais de proximité - Étude sur le bruit et les vibrations - Niveau 3,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Noise and Vibration Study -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Étude sur le bruit et les vibrations - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Pre-Post Construction Surveys -  Level 1 Fee,Frais de proximité - Enquête avant et après les travaux - Niveau 1,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Pre-Post Construction Surveys -  Level 1 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Enquête avant et après les travaux - Niveau 1
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Pre-Post Construction Surveys -  Level 2 Fee,Frais de proximité - Enquête avant et après les travaux - Niveau 2,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Pre-Post Construction Surveys -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Enquête avant et après les travaux - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Pre-Post Construction Surveys -  Level 3 Fee,Frais de proximité - Enquête avant et après les travaux - Niveau 3,,,1792.14,1792.14,1827.98,1827.98,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Pre-Post Construction Surveys -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Enquête avant et après les travaux - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Property – M&L Requirements -  Level 2 Fee,Frais de proximité - Biens - Exigences en matière d'entretien et de responsabilité - Niveau 2,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Property – M&L Requirements -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Biens - Exigences en matière d'entretien et de responsabilité - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Property – M&L Requirements -  Level 3 Fee,Frais de proximité - Biens - Exigences en matière d'entretien et de responsabilité - Niveau 3,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Property – M&L Requirements -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Biens - Exigences en matière d'entretien et de responsabilité - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Security Plan Level 2 Fee,Frais de proximité - Plan de sécurité - Niveau 2,,,1792.14,1792.14,1827.98,1827.98,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Security Plan Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Plan de sécurité - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Security Plan Level 3 Fee,Frais de proximité - Plan de sécurité - Niveau 3,,,1792.14,1792.14,1827.98,1827.98,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Security Plan Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Plan de sécurité - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Set-Back Requirements from Structures in the Zone of Influence - Level 1 Fee,Frais de proximité - Exigences en matière de marge de retrait des structures dans la zone d'influence - Niveau 1,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Set-Back Requirements from Structures in the Zone of Influence - Level 1 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Exigences en matière de marge de retrait des structures dans la zone d'influence - Niveau 1
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Set-Back Requirements from Structures in the Zone of Influence - Level 2 Fee,Frais de proximité - Exigences en matière de marge de retrait des structures dans la zone d'influence - Niveau 2,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Set-Back Requirements from Structures in the Zone of Influence - Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Exigences en matière de marge de retrait des structures dans la zone d'influence - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Set-Back Requirements from Structures in the Zone of Influence - Level 3 Fee,Frais de proximité - Exigences en matière de marge de retrait des structures dans la zone d'influence - Niveau 3,,,1792.14,1792.14,1827.98,1827.98,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Set-Back Requirements from Structures in the Zone of Influence - Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Exigences en matière de marge de retrait des structures dans la zone d'influence - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Shoring – Design & Monitoring Plan - Level 1 Fee,Frais de proximité - Étayage — Plan de conception et de surveillance - Niveau 1,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Shoring – Design & Monitoring Plan - Level 1 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Étayage — Plan de conception et de surveillance - Niveau 1
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Shoring – Design & Monitoring Plan - Level 2 Fee,Frais de proximité - Étayage — Plan de conception et de surveillance - Niveau 2,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Shoring – Design & Monitoring Plan - Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Étayage — Plan de conception et de surveillance - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Shoring – Design & Monitoring Plan - Level 3 Fee,Frais de proximité - Étayage — Plan de conception et de surveillance - Niveau 3,,,4778.7,4778.7,4874.27,4874.27,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Shoring – Design & Monitoring Plan - Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Étayage — Plan de conception et de surveillance - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Station Ventilation -  Level 2 Fee,Frais de proximité - Ventilation de station - Niveau 2,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Station Ventilation -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Ventilation de station - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Station Ventilation -  Level 3 Fee,Frais de proximité - Ventilation de station - Niveau 3,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Station Ventilation -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Ventilation de station - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Structural Analysis –Loading - Level 2 Fee,Frais de proximité - Analyse structurelle - Chargement - Niveau 2,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Structural Analysis –Loading - Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Analyse structurelle - Chargement - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Structural Analysis –Loading - Level 3 Fee,Frais de proximité - Analyse structurelle - Chargement - Niveau 3,,,2388.84,2388.84,2436.62,2436.62,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Structural Analysis –Loading - Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Analyse structurelle - Chargement - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Utility relocations and Installations Level 1 Fee,Frais de proximité - Déplacements et installations de services publics - Niveau 1,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Utility relocations and Installations Level 1 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Déplacements et installations de services publics - Niveau 1
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Utility relocations and Installations Level 2 Fee,Frais de proximité - Déplacements et installations de services publics - Niveau 2,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Utility relocations and Installations Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Déplacements et installations de services publics - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity fees -  Utility relocations and Installations Level 3 Fee,Frais de proximité - Déplacements et installations de services publics - Niveau 3,,,1792.14,1792.14,1827.98,1827.98,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity fees -  Utility relocations and Installations Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Déplacements et installations de services publics - Niveau 3
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Waterproofing System -  Level 2 Fee,Frais de proximité - Matériaux d'imperméabilisation - Niveau 2,,,597.72,597.72,609.67,609.67,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Waterproofing System -  Level 2 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Matériaux d'imperméabilisation - Niveau 2
Transportation Services Department,Direction générale des services de transport en commun,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Rail Construction Program Service,Programme de planification et mise en œuvre de l’Étape 2 du train léger,Proximity Fees -  Waterproofing System -  Level 3 Fee,Frais de proximité - Matériaux d'imperméabilisation - Niveau 3,,,1194.42,1194.42,1218.31,1218.31,2.00%,2.00%,2025-01-01,2025-01-01,Transportation Services Department Finance and Corporate Services Committee Rail Construction Program Service Proximity Fees -  Waterproofing System -  Level 3 Fee,Direction générale des services de transport en commun Comité des finances et des services organisationnels Programme de planification et mise en œuvre de l’Étape 2 du train léger Frais de proximité - Matériaux d'imperméabilisation - Niveau 3
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Account Statement Fee:  Accounts Receivable,Déclaration compte des frais: Débiteurs,,,41,41,42,42,2.40%,2.40%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Account Statement Fee:  Accounts Receivable,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Déclaration compte des frais: Débiteurs
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Additions to Tax Roll,Ajouts au rôle d’imposition,,,52,52,53,53,1.90%,1.90%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Additions to Tax Roll,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Ajouts au rôle d’imposition
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Advertising Costs,Frais de promotion,,,Coût réel,Actual cost,Coût réel,Actual cost,-,-,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Advertising Costs,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Frais de promotion
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,After Tender Opening:  Distribution of Sale,Après le dépouillement des offres : répartition de la vente,,,480,480,530,530,10.40%,10.40%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services After Tender Opening:  Distribution of Sale,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Après le dépouillement des offres : répartition de la vente
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,After Tender Opening:  Mailing Costs,Après le dépouillement des offres : frais d'envoi postal,,,320,320,328,328,2.50%,2.50%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services After Tender Opening:  Mailing Costs,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Après le dépouillement des offres : frais d'envoi postal
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,After Tender Opening:  Registration,Après le dépouillement des offres : inscription,,,480,480,492,492,2.50%,2.50%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services After Tender Opening:  Registration,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Après le dépouillement des offres : inscription
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Arrears list research for mortgage companies,Listes d’arrérages pour les sociétés de prêts hypothécaires,,,42,42,43,43,2.40%,2.40%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Arrears list research for mortgage companies,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Listes d’arrérages pour les sociétés de prêts hypothécaires
Finance and Corporate Services Department,Direction générale des finances et des services organisationnels,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Revenue Services,Services des recettes,Bill Reprint/Statement of Account History : Tax,Réimpression de la facture de taxes foncières/Relevé historique de compte,,,41,41,41,41,0.00%,0.00%,2025-01-01,2025-01-01,Finance and Corporate Services Department Finance and Corporate Services Committee Revenue Services Bill Reprint/Statement of Account History : Tax,Direction générale des finances et des services organisationnels Comité des finances et des services organisationnels Services des recettes Réimpression de la facture de taxes foncières/Relevé historique de compte
